peak,X,Y,V,gap
0,1350,1948,153,6.0
1,1350,1942,93,7.07106781187
2,1351,1935,145,4.0
3,1351,1931,102,5.0
4,1351,1926,112,5.0
5,1351,1921,114,6.0827625303
6,1352,1915,109,4.0
7,1352,1911,95,4.0
8,1352,1907,136,6.0827625303
9,1353,1901,73,5.0
10,1353,1896,137,6.0827625303
11,1354,1890,115,5.0
12,1354,1885,112,6.0
13,1354,1879,73,6.0827625303
14,1355,1873,90,6.0
15,1355,1867,122,7.07106781187
16,1356,1860,109,6.0
17,1356,1854,62,6.0
18,1356,1848,78,7.07106781187
19,1357,1841,142,7.0
20,1357,1834,119,7.07106781187
21,1358,1827,73,6.0
22,1358,1821,118,6.0827625303
23,1359,1815,132,5.0
24,1359,1810,74,5.0
25,1359,1805,156,5.09901951359
26,1360,1800,64,5.0
27,1360,1795,145,6.0827625303
28,1361,1789,67,6.0
29,1361,1783,150,5.0
30,1361,1778,79,5.09901951359
31,1362,1773,146,6.0
32,1362,1767,82,6.0
33,1362,1761,101,4.12310562562
34,1363,1757,97,5.0
35,1363,1752,101,4.0
36,1363,1748,90,2.0
37,1363,1746,129,8.0622577483
38,1364,1738,105,5.0
39,1364,1733,68,6.0827625303
40,1365,1727,74,6.0
41,1365,1721,151,6.0827625303
42,1366,1715,128,6.0
43,1366,1709,71,6.0
44,1366,1703,105,5.09901951359
45,1367,1698,124,7.0
46,1367,1691,80,5.09901951359
47,1368,1686,79,5.0
48,1368,1681,151,6.0
49,1368,1675,82,6.0827625303
50,1369,1669,73,6.0
51,1369,1663,136,5.09901951359
52,1370,1658,76,7.0
53,1370,1651,77,6.0
54,1370,1645,70,6.0827625303
55,1371,1639,71,6.0
56,1371,1633,68,6.0827625303
57,1372,1627,139,7.0
58,1372,1620,153,6.0827625303
59,1373,1614,84,5.0
60,1373,1609,140,5.0
61,1373,1604,128,6.0827625303
62,1374,1598,82,7.0
63,1374,1591,145,5.0
64,1374,1586,71,5.09901951359
65,1375,1581,74,5.0
66,1375,1576,122,5.0
67,1375,1571,63,5.09901951359
68,1376,1566,101,5.0
69,1376,1561,87,5.0
70,1376,1556,142,5.09901951359
71,1377,1551,71,6.0
72,1377,1545,66,6.0827625303
73,1378,1539,96,6.0
74,1378,1533,133,8.0622577483
75,1379,1525,97,6.0
76,1379,1519,68,6.0
77,1379,1513,141,6.0827625303
78,1380,1507,112,10.0498756211
79,1381,1497,132,8.0
80,1381,1489,114,8.0622577483
81,1382,1481,90,9.0
82,1382,1472,101,2.0
