peak,X,Y,V,gap
0,1570,1945,110,8.0
1,1570,1937,52,7.0
2,1570,1930,139,6.0827625303
3,1571,1924,74,7.0
4,1571,1917,103,7.0
5,1571,1910,113,7.0
6,1571,1903,75,7.07106781187
7,1572,1896,37,6.0
8,1572,1890,101,6.0
9,1572,1884,58,7.07106781187
10,1573,1877,105,7.0
11,1573,1870,66,4.0
12,1573,1866,64,3.0
13,1573,1863,60,7.0
14,1573,1856,63,7.07106781187
15,1574,1849,82,6.0
16,1574,1843,72,6.0
17,1574,1837,72,7.0
18,1574,1830,107,6.0827625303
19,1575,1824,88,4.0
20,1575,1820,83,3.0
21,1575,1817,118,7.0
22,1575,1810,67,6.0827625303
23,1576,1804,64,6.0
24,1576,1798,110,5.0
25,1576,1793,65,7.0
26,1576,1786,131,6.0
27,1576,1780,90,7.07106781187
28,1577,1773,66,6.0
29,1577,1767,136,7.0
30,1577,1760,70,6.0827625303
31,1578,1754,49,6.0
32,1578,1748,119,7.0
33,1578,1741,81,6.0
34,1578,1735,106,3.0
35,1578,1732,42,4.12310562562
36,1579,1728,117,6.0
37,1579,1722,44,7.0
38,1579,1715,48,6.0
39,1579,1709,92,6.0827625303
40,1580,1703,76,7.0
41,1580,1696,59,5.0
42,1580,1691,87,4.0
43,1580,1687,38,3.0
44,1580,1684,69,5.09901951359
45,1581,1679,83,6.0
46,1581,1673,77,5.0
47,1581,1668,68,5.0
48,1581,1663,67,4.0
49,1581,1659,102,6.0827625303
50,1582,1653,81,6.0
51,1582,1647,70,3.0
52,1582,1644,98,6.0
53,1582,1638,25,7.07106781187
54,1583,1631,67,4.0
55,1583,1627,51,6.0
56,1583,1621,76,5.0
57,1583,1616,62,5.0
58,1583,1611,61,5.09901951359
59,1584,1606,50,7.0
60,1584,1599,34,4.0
61,1584,1595,50,6.0
62,1584,1589,51,6.0827625303
63,1585,1583,105,6.0
64,1585,1577,59,6.0
65,1585,1571,38,4.0
66,1585,1567,68,7.07106781187
67,1586,1560,62,4.0
68,1586,1556,66,3.0
69,1586,1553,43,8.0
70,1586,1545,112,8.0
71,1586,1537,133,2.2360679775
72,1587,1535,63,9.0
73,1587,1526,47,3.0
74,1587,1523,66,5.0
75,1587,1518,44,8.0622577483
76,1588,1510,35,3.0
77,1588,1507,135,6.0
78,1588,1501,50,5.0
79,1588,1496,61,7.0
80,1588,1489,114,5.09901951359
81,1589,1484,116,6.0
82,1589,1478,82,6.0
