peak,X,Y,V,gap
0,581,630,159,4.0
1,585,630,136,5.09901951359
2,590,629,158,5.09901951359
3,595,628,147,5.0
4,600,628,163,4.12310562562
5,604,627,127,4.0
6,608,627,142,5.09901951359
7,613,626,151,5.09901951359
8,618,625,130,4.0
9,622,625,155,3.16227766017
10,625,624,127,4.0
11,629,624,141,4.12310562562
12,633,623,122,5.0
13,638,623,132,4.12310562562
14,642,622,127,5.09901951359
15,647,621,133,5.0
16,652,621,145,5.09901951359
17,657,620,121,4.12310562562
18,661,619,147,5.0
19,666,619,128,4.12310562562
20,670,618,127,5.0
21,675,618,138,4.12310562562
22,679,617,129,5.09901951359
23,684,616,127,4.0
24,688,616,129,5.09901951359
25,693,615,141,4.0
26,697,615,139,4.12310562562
27,701,614,123,4.12310562562
28,705,613,131,4.0
29,709,613,130,4.12310562562
30,713,612,120,4.0
31,717,612,127,5.09901951359
32,722,611,142,4.0
33,726,611,130,5.09901951359
34,731,610,118,4.12310562562
35,735,609,128,5.0
36,740,609,126,4.12310562562
37,744,608,124,4.0
38,748,608,123,4.12310562562
39,752,607,137,4.12310562562
40,756,606,117,5.0
41,761,606,136,5.09901951359
42,766,605,136,4.0
43,770,605,119,5.09901951359
44,775,604,121,4.12310562562
45,779,603,132,4.0
46,783,603,138,4.12310562562
47,787,602,141,6.0827625303
48,793,601,143,5.0
49,798,601,124,5.09901951359
50,803,600,141,5.0
51,808,600,151,3.0
52,811,600,122,3.0
53,814,600,123,4.0
54,818,600,118,5.0
55,823,600,125,5.0
56,828,600,131,3.0
57,831,600,119,5.0
58,836,600,133,5.0
59,841,600,143,4.0
60,845,600,128,5.0
61,850,600,135,6.0
62,856,600,142,5.0
63,861,600,157,4.0
64,865,600,133,5.0
65,870,600,138,6.0
66,876,600,144,4.0
67,880,600,144,4.0
68,884,600,140,5.0
69,889,600,139,6.0
70,895,600,140,5.0
71,900,600,138,4.0
72,904,600,146,4.0
73,908,600,141,5.0
74,913,600,153,3.0
75,916,600,130,5.0
76,921,600,148,4.0
77,925,600,150,4.0
78,929,600,134,4.0
79,933,600,156,4.0
80,937,600,148,4.0
81,941,600,138,4.0
82,945,600,116,5.0
83,950,600,121,3.0
84,953,600,133,5.0
85,958,600,154,4.0
86,962,600,139,5.0
87,967,600,150,4.0
88,971,600,126,4.0
89,975,600,138,6.0
90,981,600,125,3.0
91,984,600,121,9.0
92,993,600,92,6.0
93,999,600,70,5.0
94,1004,600,118,3.0
95,1007,600,120,4.0
96,1011,600,100,7.0
97,1018,600,69,9.0
98,1027,600,117,9.0
99,1036,600,105,2.0
100,1038,600,112,2.0
101,1040,600,113,4.0
102,1044,600,127,2.0
103,1046,600,129,5.0
104,1051,600,81,2.0
105,1053,600,68,7.0
